,GeminiPro,GeminiPro,GeminiPro,GeminiPro,Mistral,Mistral,Mistral,Mistral,Deepseek,Deepseek,Deepseek,Deepseek
,Monolithic,Duo,Manager,Team,Monolithic,Duo,Manager,Team,Monolithic,Duo,Manager,Team
Submit Expense Report exists,True,True,True,True,True,True,True,True,True,True,True,True
Notification exists,True,True,True,True,True,True,True,False,True,False,True,False
Account Creation is optional,True,True,True,True,False,True,False,False,False,False,False,False
Amount decides ongoing path,True,True,True,True,False,False,True,True,False,True,True,True
Automatic Approve exists,True,True,True,True,False,True,False,True,True,True,True,True
after Automatic Approve money is transferred,True,True,True,True,False,True,False,False,True,True,True,True
Manual Approve option exists,True,True,True,True,False,True,False,True,True,True,True,True
after Manual Approve money is transferred,True,True,True,True,False,True,False,True,True,True,True,True
Rejection exists,True,True,True,True,False,True,False,True,False,False,True,False
no Transfer if rejected,True,False,True,True,False,False,False,True,False,False,False,False
Notify on Money Transfer,True,True,True,True,False,True,False,True,True,False,True,True
